function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Quadratic,30,1.0,100,1,1001,0.0003028613698583668,3001,0.037566184997558594
Quadratic,30,1.0,100,2,1002,0.0004800216756916323,3001,0.058406829833984375
Quadratic,30,1.0,100,3,1003,0.00039063153814393914,3001,0.027337074279785156
Quadratic,30,1.0,100,4,1004,0.0006890808547834699,3001,0.0236968994140625
Quadratic,30,1.0,100,5,1005,0.0007571387654789408,3001,0.0275423526763916
Quadratic,30,1.0,100,6,1006,0.0004549238539750341,3001,0.036332130432128906
Quadratic,30,1.0,100,7,1007,0.0006604230889220057,3001,0.02807450294494629
Quadratic,30,1.0,100,8,1008,0.0004107681146732787,3001,0.028593063354492188
Quadratic,30,1.0,100,9,1009,0.00041095973022586526,3001,0.026296615600585938
Quadratic,30,10.0,10,0,1000,1.3578112844274863e-09,3001,0.02998065948486328
Quadratic,30,10.0,10,1,1001,1.872769305210107e-10,3001,0.0260009765625
Quadratic,30,10.0,10,2,1002,5.767748518267718e-11,3001,0.041349172592163086
Quadratic,30,10.0,10,3,1003,1.0236994575092713e-09,3001,0.0306088924407959
Quadratic,30,10.0,10,4,1004,7.648308371032229e-11,3001,0.024263858795166016
Quadratic,30,10.0,10,5,1005,1.1844619537390616e-10,3001,0.024914979934692383
Quadratic,30,10.0,10,6,1006,5.491796906076226e-10,3001,0.02471137046813965
Quadratic,30,10.0,10,7,1007,4.833515383493585e-10,3001,0.02509164810180664
Quadratic,30,10.0,10,8,1008,2.4798378499373147e-09,3001,0.029904603958129883
Quadratic,30,10.0,10,9,1009,7.054212909919177e-10,3001,0.02508997917175293
Quadratic,30,10.0,100,0,1000,383.2698426319533,152,0.001959562301635742
Quadratic,30,10.0,100,1,1001,729.7037402629477,152,0.002059459686279297
Quadratic,30,10.0,100,2,1002,638.0219660965124,184,0.0019948482513427734
Quadratic,30,10.0,100,3,1003,1004.1271822046365,180,0.00098419189453125
Quadratic,30,10.0,100,4,1004,715.9627111751406,152,0.0020012855529785156
Quadratic,30,10.0,100,5,1005,846.5326354623841,152,0.0009980201721191406
Quadratic,30,10.0,100,6,1006,866.2128839006429,152,0.0009937286376953125
Quadratic,30,10.0,100,7,1007,760.5235759448656,152,0.001008749008178711
Quadratic,30,10.0,100,8,1008,702.4224731139981,152,0.0009911060333251953
Quadratic,30,10.0,100,9,1009,806.0618804984576,152,0.002018451690673828
Rosenbrock,10,0.1,10,0,1000,6.822770392976127,1001,0.01399993896484375
Rosenbrock,10,0.1,10,1,1001,90.67276552534243,1001,0.018999099731445312
Rosenbrock,10,0.1,10,2,1002,6.9729798253557735,1001,0.01500082015991211
Rosenbrock,10,0.1,10,3,1003,6.671454420953817,1001,0.014604568481445312
Rosenbrock,10,0.1,10,4,1004,9.180195913257462,1001,0.013089418411254883
Rosenbrock,10,0.1,10,5,1005,9.401738257356978,1001,0.056134939193725586
Rosenbrock,10,0.1,10,6,1006,18.73622446447254,379,0.004094123840332031
Rosenbrock,10,0.1,10,7,1007,6.932871309547683,1001,0.011909961700439453
Rosenbrock,10,0.1,10,8,1008,5.574913319969996,1001,0.012998580932617188
Rosenbrock,10,0.1,10,9,1009,8.770252014472268,1001,0.018507957458496094
Rosenbrock,10,0.1,100,0,1000,14.470431746508167,451,0.006661653518676758
Rosenbrock,10,0.1,100,1,1001,37.532782064783824,780,0.012451410293579102
Rosenbrock,10,0.1,100,2,1002,16.81690228330651,764,0.009004831314086914
Rosenbrock,10,0.1,100,3,1003,12.553941377321415,1001,0.012657880783081055
Rosenbrock,10,0.1,100,4,1004,9.029421617500711,813,0.010078668594360352
Rosenbrock,10,0.1,100,5,1005,53.71835807112737,514,0.00731658935546875
Rosenbrock,10,0.1,100,6,1006,18.260579339728906,638,0.009243011474609375
Rosenbrock,10,0.1,100,7,1007,16.76020746768737,688,0.014631986618041992
Rosenbrock,10,0.1,100,8,1008,11.037866768310417,659,0.009180068969726562
Rosenbrock,10,0.1,100,9,1009,14.519307942455313,791,0.00902247428894043
Rosenbrock,10,1.0,10,0,1000,7.951138928312993,1001,0.012724637985229492
Rosenbrock,10,1.0,10,1,1001,7.5203132298662,1001,0.012464284896850586
Rosenbrock,10,1.0,10,2,1002,8.181665818649472,1001,0.012294769287109375
Rosenbrock,10,1.0,10,3,1003,6.795816051366057,1001,0.015851736068725586
Rosenbrock,10,1.0,10,4,1004,9.605178126961201,1001,0.013375520706176758
Rosenbrock,10,1.0,10,5,1005,9.952197576410423,467,0.00709223747253418
Rosenbrock,10,1.0,10,6,1006,5.847684927668882,1001,0.016153812408447266
Rosenbrock,10,1.0,10,7,1007,82.69412783415223,1001,0.015006065368652344
Rosenbrock,10,1.0,10,8,1008,971.7703968709009,151,0.0031309127807617188
Rosenbrock,10,1.0,10,9,1009,9.451499088095105,1001,0.014665603637695312
Rosenbrock,10,1.0,100,0,1000,187.1547491047942,169,0.0028853416442871094
Rosenbrock,10,1.0,100,1,1001,755.3690989186284,188,0.0020003318786621094
Rosenbrock,10,1.0,100,2,1002,358.7554139833708,166,0.0015048980712890625
Rosenbrock,10,1.0,100,3,1003,817.5757177764558,170,0.0034208297729492188
Rosenbrock,10,1.0,100,4,1004,374.3620461202121,178,0.001986980438232422
Rosenbrock,10,1.0,100,5,1005,404.3349165603927,202,0.0029218196868896484
Rosenbrock,10,1.0,100,6,1006,57.15301229170402,288,0.00399470329284668
Rosenbrock,10,1.0,100,7,1007,353.3434398502797,234,0.0030717849731445312
Rosenbrock,10,1.0,100,8,1008,1111.4430300239926,151,0.0019211769104003906
Rosenbrock,10,1.0,100,9,1009,160.65339255990838,302,0.003997325897216797
Rosenbrock,10,10.0,10,0,1000,53045.7778633995,52,0.0010001659393310547
Rosenbrock,10,10.0,10,1,1001,7.951514445774051,1001,0.014002799987792969
Rosenbrock,10,10.0,10,2,1002,74.83164569091623,1001,0.014507770538330078
Rosenbrock,10,10.0,10,3,1003,220.67264156470515,1001,0.013999223709106445
Rosenbrock,10,10.0,10,4,1004,9.5010165029198,1001,0.015000104904174805
Rosenbrock,10,10.0,10,5,1005,2608.516511187677,159,0.0020003318786621094
Rosenbrock,10,10.0,10,6,1006,7.365039085714011,1001,0.015006065368652344
Rosenbrock,10,10.0,10,7,1007,1436.904640449021,1001,0.013865232467651367
Rosenbrock,10,10.0,10,8,1008,401.2412880421976,1001,0.014006614685058594
Rosenbrock,10,10.0,10,9,1009,11379.632611070774,105,0.0010001659393310547
Rosenbrock,10,10.0,100,0,1000,53045.7778633995,52,0.0009999275207519531
Rosenbrock,10,10.0,100,1,1001,1386728.3446052938,52,0.0009980201721191406
Rosenbrock,10,10.0,100,2,1002,179752.77722827715,194,0.0019991397857666016
Rosenbrock,10,10.0,100,3,1003,680045.6660029381,103,0.0010001659393310547
Rosenbrock,10,10.0,100,4,1004,437099.8234356782,89,0.0019998550415039062
Rosenbrock,10,10.0,100,5,1005,342983.84923790087,92,0.0010001659393310547
Rosenbrock,10,10.0,100,6,1006,557469.1841038623,75,0.0010001659393310547
Rosenbrock,10,10.0,100,7,1007,409087.3663239122,61,0.0010006427764892578
Rosenbrock,10,10.0,100,8,1008,647595.6762202064,52,0.0
Rosenbrock,10,10.0,100,9,1009,272251.3815318844,140,0.0019991397857666016
Rosenbrock,30,0.1,10,0,1000,26.67218835581064,3001,0.0455172061920166
Rosenbrock,30,0.1,10,1,1001,28.631767784447486,3001,0.04802298545837402
Rosenbrock,30,0.1,10,2,1002,27.871758659949023,3001,0.050872087478637695
Rosenbrock,30,0.1,10,3,1003,521.7185781441012,3001,0.04208016395568848
Rosenbrock,30,0.1,10,4,1004,29.306054040789924,3001,0.04251289367675781
Rosenbrock,30,0.1,10,5,1005,316.8561047835087,3001,0.042035579681396484
Rosenbrock,30,0.1,10,6,1006,28.61907934600105,3001,0.041887521743774414
Rosenbrock,30,0.1,10,7,1007,27.11714668185515,3001,0.04230093955993652
Rosenbrock,30,0.1,10,8,1008,28.65636619476151,3001,0.03907489776611328
Rosenbrock,30,0.1,10,9,1009,25.935571293313206,3001,0.10163307189941406
Rosenbrock,30,0.1,100,0,1000,29.093512660700174,3001,0.04117751121520996
Rosenbrock,30,0.1,100,1,1001,28.464502148212603,3001,0.03660416603088379
Rosenbrock,30,0.1,100,2,1002,28.667412391641594,3001,0.038005828857421875
